Date,Desktop,Mobile,Tablet
String ,Integer,Integer,Integer
7-Aug-12,1376,645,1146
8-Aug-12,1356.983638,683.9486499,1115.060957
9-Aug-12,1354.899467,602.0700791,1161.29858
10-Aug-12,1347.587658,632.4241166,1116.580636
11-Aug-12,1395.279851,605.5363082,1152.485074
12-Aug-12,1402.086441,671.34993,1171.834888
13-Aug-12,1334.524649,608.5105574,1192.930566
